,Importance,Idx,Token
479,0.0005737672598545962,555,early
480,0.0005732976207317292,958,introverted
481,0.0005729815854081017,288,chance
482,0.0005727154901724285,1611,short
483,0.0005722638391207019,337,cognitive
484,0.000571941306718985,698,fine
485,0.0005719252211459685,1981,writing
486,0.0005704960975011313,515,discover
487,0.0005701155323773787,1490,reply
488,0.0005694769182449177,1858,trust
489,0.0005687304457295528,1029,lie
490,0.0005684313616683528,558,easily
491,0.0005677754590093013,1416,push
492,0.0005676036675420909,1129,method
493,0.0005674271219520784,1977,worth
494,0.0005672535680320339,1742,suck
495,0.0005652868466735018,44,act
496,0.0005637291510014437,135,assumption
497,0.0005629846221439928,67,age
498,0.0005615460858681939,1813,throw
499,0.000559800556908119,857,home
500,0.0005596862632396575,1421,quick
501,0.0005596759324542634,1186,necessary
502,0.0005589840592226079,350,comment
503,0.0005584453921936051,1581,sentence
504,0.000557647871162588,1426,quote
505,0.000557324113797166,1108,meaning
506,0.0005567236189016022,484,depression
507,0.0005566551274741944,1341,pointless
508,0.0005560868237000084,1362,power
509,0.0005550409476660533,1006,language
510,0.0005549825956879472,1746,suggest
511,0.0005529865994265241,770,goal
512,0.0005523401104384409,704,fix
513,0.0005520098433399988,1709,stereotype
514,0.0005516356174635635,1940,wear
515,0.0005493868573161921,35,accept
516,0.0005477668585350733,1780,te
517,0.0005469232510150673,1276,particular
518,0.0005468966633473106,996,kinda
519,0.0005463884098250583,979,join
520,0.0005463721627753148,1820,tired
521,0.0005463387120521824,92,angry
522,0.0005456718358856228,340,college
523,0.0005455189574824861,1052,lonely
524,0.0005453625978196265,301,check
525,0.0005449710516142703,1499,respect
526,0.0005447090685115215,548,dumb
527,0.0005438344211663834,438,cry
528,0.0005436214530386326,1683,specific
529,0.0005434291272914944,677,fear
530,0.0005430546269746673,1950,white
531,0.0005427959809019569,1345,political
532,0.0005426284142847263,466,dear
533,0.000542403100434701,536,draw
534,0.0005419277759907601,613,ex
535,0.000540003539263085,1692,sport
536,0.0005399300671900801,1205,normal
537,0.0005376232782921793,901,imo
538,0.0005373796292214698,1527,room
539,0.0005368526897501256,248,brother
540,0.0005335924903535715,1140,miss
541,0.0005301620283493604,892,ignore
542,0.0005294499870016851,1247,option
543,0.0005280065284030922,1897,user
544,0.0005278517053930653,155,avoid
545,0.0005266990775669312,483,depressed
546,0.0005263361681764383,1821,title
547,0.0005260811707236225,696,finally
548,0.0005258267803628737,1256,outside
549,0.0005249924648940355,928,inside
550,0.0005233605237718241,498,dick
551,0.0005224494493588905,1536,run
552,0.0005224202178084845,1414,purpose
553,0.0005222414426453104,593,environment
554,0.0005209066997492327,1319,pick
555,0.0005202017525819761,1314,physical
556,0.0005192858918972093,338,cold
557,0.0005191394188294499,451,dad
558,0.0005190439672674636,847,hit
559,0.0005186512925055958,99,anti
560,0.0005174677585301739,562,edit
561,0.0005173154798027332,532,doubt
562,0.0005170167928980763,665,fantasy
563,0.0005165007721571215,348,comfortable
564,0.0005159566632131142,1334,plenty
565,0.0005154972556290639,287,challenge
566,0.0005145655043747953,807,hahaha
567,0.000513904512270519,1066,low
568,0.000513654560038182,693,fill
569,0.0005122268551683414,1202,non
570,0.0005097712843180636,1504,rest
571,0.0005077210191204357,412,count
572,0.0005072236089463643,111,appear
573,0.0005063911848079377,48,activity
574,0.0005056610619934686,1556,scientist
575,0.0005051408050142658,1955,willing
576,0.0005045695746370148,1114,medium
577,0.0005030215521041981,1338,poem
578,0.0005029097280387713,1349,pop
579,0.0005028390755561723,694,film
580,0.000502658922460155,234,bother
581,0.0005016146112463015,31,absolutely
582,0.0005015017668935803,130,aspect
583,0.0005006795503840885,1297,perfect
584,0.0005005390847219601,400,convince
585,0.00050053352255174,1468,regardless
586,0.0004994302475531548,564,effect
587,0.0004991285518022186,1031,light
588,0.000499102105777486,775,google
589,0.000497487550114839,1931,warm
590,0.0004973470280313831,641,extreme
591,0.0004971026319050301,144,attract
592,0.0004966359608882291,724,form
593,0.0004966301332730904,671,father
594,0.0004952546617126854,1555,scientific
595,0.0004951358751222236,490,desire
596,0.0004946302542102411,1015,lead
597,0.0004939994124619757,1278,partner
598,0.0004918213814419903,1019,learning
